[I 241203 04:43:03 smartapi:165] on open
[I 241203 04:43:03 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3946771, 'exchange_timestamp': 1733200983000, 'last_traded_price': 2434115, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:03 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3947199, 'exchange_timestamp': 1733200983000, 'last_traded_price': 2434170, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:04 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3947561, 'exchange_timestamp': 1733200984000, 'last_traded_price': 2434130, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:04 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3947994, 'exchange_timestamp': 1733200984000, 'last_traded_price': 2434195, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:05 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3948328, 'exchange_timestamp': 1733200985000, 'last_traded_price': 2434125, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:05 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3948820, 'exchange_timestamp': 1733200985000, 'last_traded_price': 2434190, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:06 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3949165, 'exchange_timestamp': 1733200986000, 'last_traded_price': 2434215, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:06 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3949625, 'exchange_timestamp': 1733200986000, 'last_traded_price': 2434225, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:07 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3949978, 'exchange_timestamp': 1733200987000, 'last_traded_price': 2434225, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:07 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3950418, 'exchange_timestamp': 1733200987000, 'last_traded_price': 2434230, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:08 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3950763, 'exchange_timestamp': 1733200988000, 'last_traded_price': 2434255, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:08 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3951196, 'exchange_timestamp': 1733200988000, 'last_traded_price': 2434245, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:09 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3951524, 'exchange_timestamp': 1733200989000, 'last_traded_price': 2434340, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:09 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3951951, 'exchange_timestamp': 1733200989000, 'last_traded_price': 2434350, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:10 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3952299, 'exchange_timestamp': 1733200990000, 'last_traded_price': 2434310, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:10 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3952785, 'exchange_timestamp': 1733200990000, 'last_traded_price': 2434265, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:11 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3953121, 'exchange_timestamp': 1733200991000, 'last_traded_price': 2434230, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:11 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3953593, 'exchange_timestamp': 1733200991000, 'last_traded_price': 2434300, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:12 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3953932, 'exchange_timestamp': 1733200992000, 'last_traded_price': 2434350, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:12 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3954369, 'exchange_timestamp': 1733200992000, 'last_traded_price': 2434340, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:13 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3954727, 'exchange_timestamp': 1733200993000, 'last_traded_price': 2434355, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:13 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3955157, 'exchange_timestamp': 1733200993000, 'last_traded_price': 2434340, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:14 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3955480, 'exchange_timestamp': 1733200994000, 'last_traded_price': 2434365, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:14 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3955934, 'exchange_timestamp': 1733200994000, 'last_traded_price': 2434375, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:15 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3956254, 'exchange_timestamp': 1733200995000, 'last_traded_price': 2434395, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:15 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3956761, 'exchange_timestamp': 1733200995000, 'last_traded_price': 2434340, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:16 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3957112, 'exchange_timestamp': 1733200996000, 'last_traded_price': 2434390, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:16 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3957579, 'exchange_timestamp': 1733200996000, 'last_traded_price': 2434355, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:17 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3957885, 'exchange_timestamp': 1733200997000, 'last_traded_price': 2434400, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:17 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3958350, 'exchange_timestamp': 1733200997000, 'last_traded_price': 2434320, 'subscription_mode_val': 'LTP'}
