[I 241226 12:55:42 websocket_listener:48] WebSocket connection opened
[I 241226 12:55:42 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197944000, 'last_traded_price': 2374820, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:42 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197944000, 'last_traded_price': 2374800, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:43 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197945000, 'last_traded_price': 2374785, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:43 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197945000, 'last_traded_price': 2374790, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:44 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197946000, 'last_traded_price': 2374760, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:44 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197946000, 'last_traded_price': 2374760, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:45 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197947000, 'last_traded_price': 2374805, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:45 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197947000, 'last_traded_price': 2374785, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:46 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197948000, 'last_traded_price': 2374815, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:46 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197948000, 'last_traded_price': 2374870, 'subscription_mode_val': 'LTP'}
[I 241226 12:55:47 websocket_listener:30] Raw WebSocket message: {'subscription_mode': 1, 'exchange_type': 1, 'token': '99926000', 'sequence_number': 0, 'exchange_timestamp': 1735197949000, 'last_traded_price': 2374660, 'subscription_mode_val': 'LTP'}
